jahr,gesamt,unter25,ueber55
2000,26637,3304,
2001,26728,3408,
2002,26503,3417,
2003,25534,3221,
2004,25785,3293,
2005,25580,3192,
2006,26029,3268,
2007,26284,3288,3105.0
2008,26065,3209,3273.0
2009,26484,3185,3446.0
2010,26412,3094,3606.0
2011,26865,3059,3843.0
2012,27738,3163,4175.0
2013,27791,3286,4429.0
2014,28751,3328,4854.0
2015,29642,3336,5229.0
2016,30524,3347,5591.0
2017,30767,3424,5869.0
2018,31439,3374,6319.0
2019,31811,3429,6711.0
2020,31567,3239,7066.0
2021,32179,3290,7335.0
2022,32958,3440,7675.0
2023,33095,3318,7880.0
2024,33267,3226,8070.0
2025,33866,3359,8311.0
